Parameters,PC1,PC2
teachers,0.005312704037080689,0.006943170716705267
psychological,0.013592138537717513,0.013316261558327436
moody,0.010527237672385947,0.010769598968392857
national,0.013676547884813872,0.01434337038222315
home,0.034404221267705704,-0.0012562841854897866
beats,0.1029175600829493,-0.09216757005543097
jordan,0.011307845824848756,0.009073490733767842
start,0.020860646670588165,0.02287592094795521
san,0.009969884390483748,0.0053696781249585185
health,0.051205295615035826,0.03468236037247974
beliefs,0.014277799320969986,0.012134989867916241
talks,0.005927795884933995,0.008512222652796627
advisers,0.0590051131323929,0.16003807535217868
philosophy,0.005994762444251711,0.0009293390129641225
topic,0.030719861643795456,0.024841086911879813
fall,0.1097382536421599,-0.06674117066159811
tiktok,0.013347337403988963,0.005752558178283352
les,0.04564991460859623,0.031899487568286596
holiday,0.004265845374838772,0.0037330727373113765
sign,0.0509693290857096,0.009289643588912357
protein,0.012525959063307706,0.01045428408602498
big,0.016213409682299125,0.01637982838441182
hurrdat,0.0016341908761132178,-0.00035976586031642434
invest,0.05730082541459427,0.12356878881939384
music,0.056137491165232485,-0.039600317562872134
business,0.03621149621522892,0.0701762729655163
download,0.02334837764034658,0.05165555122125447
social,0.027913005006527426,0.024041047154316472
producer,0.003033887859775687,-0.0019132276768818576
degree,0.014000587447752968,0.015055184767630576
trump,-0.0003958521338185868,0.005378049258229871
hinchcliffe,-0.0036752835449910346,-0.0019433731729138696
general,0.0016876377388508872,0.0043603839222516524
text,0.03053957288967907,0.05645288222812554
exposure,0.020237735788791737,0.01725677213290223
vs,0.008246418499605397,0.005044082623558143
shop,0.008988546958067356,0.009776631187360512
corporate,0.01913701783119564,0.025386938600958486
edge,0.017118661581237305,0.01986000887210156
tom,0.03435620812596026,0.006802903013438607
discord,0.012608446685259895,0.009715239427449038
digital,0.026316681961738076,0.0537390717988616
tariffs,0.009549220473627681,0.013788351368184867
master,0.023565775412271277,0.03246922304341376
different,0.01954860360302487,0.021786977339964642
daily,0.01556024937324963,0.010011176417982333
toast,-0.004503258946621804,-0.004214408114916756
china,0.011193950458361808,0.014333888128103147
kevin,0.003053729050100545,0.0034941606965744254
coltivar,0.06057154208602357,0.16432190779082514
receive,0.07834035593180105,0.05526534630696369
fast,0.01998167987865138,0.019314228670839716
apple,0.033264846102621606,-0.0007915454226411167
body,0.03943247417463281,0.04269720966149946
joe,5.468988987724531e-06,0.0015593475423483032
california,0.016716150027107867,-0.018061408546174364
economy,0.01292604514645941,0.02076565020929309
reporter,-0.0032289995995872962,0.0001159444029505841
mindset,0.017315009237891938,0.015671935107684287
host,0.014331224372389647,0.018760341789059796
draftkings,-0.00025459069031132575,-0.00012002709640589525
bettingpros,0.009621324549404904,0.006721215937087552
tony,0.0010043485438237796,-0.0001247146931959111
live,0.022644202873547452,0.0004466234423364662
support,0.05408658064040171,0.03337407888493647
dive,0.022761714077911926,0.022976662553389836
contact,0.01009129382118829,0.01089219588023927
day,0.03781455526875467,-0.001668573540321508
shares,0.025977249877785293,0.042549503613868785
impact,0.03702929426797492,0.035179063555517476
par,0.054093636127907414,0.011534125277696355
history,0.00666250838569448,1.502839655902864e-06
modern,0.01502178971720858,0.01039703616474412
jamie,-0.0020114426329722176,-0.0008212348904084086
charges,0.014962433759888065,0.02098883725613149
public,0.051871983034166354,0.012229070333397662
diagnosis,0.01652151972325322,0.015864734525335742
treatment,0.0438080921487539,0.0019002522239764238
spotify,0.033196734860452166,-0.003716065946530271
electric,0.0020053735785887134,0.002223756139475565
high,0.03397310806348183,0.03305268087983318
available,0.018916266103919936,0.009792036290638462
relationship,0.027704249910274002,0.02529056654198761
future,0.02763849987990334,0.030770610453314105
stuff,0.011925815923153707,0.00936889486288226
watch,0.01383499310158293,0.015278224158503974
chris,0.00558244312908221,0.005830149394493938
bailey,0.008725077498494842,0.0027076209019290466
food,0.01522044101353098,0.014947010174513142
productivity,0.014327131182719603,0.010963000828724838
peace,0.10083659622254768,-0.0716549347960265
journey,0.03973994775499418,0.0352317367832475
plan,0.018530254460909275,0.008055166056315862
artis,0.0020180173441348205,0.0006631606451932163
accuracy,0.053360776970771434,0.14041332424208985
supreme,0.004059881213300018,0.0031724667672387544
growth,0.038950857282439987,0.042979272851587653
play,0.04777584345176329,-0.01863338140600831
secret,0.011338144520561826,0.010393182990598914
platforms,0.05471322713410206,-0.01785329269789481
policy,0.023395988853522384,0.010169741233509692
advice,0.0518912672221989,0.10045793263120423
manager,0.008848670354200571,0.008717879857335615
death,0.004831798960377927,0.0019341394683381821
bonus,0.021672135878324904,-0.007111956902055388
north,0.007113713474498723,0.007082349133217111
link,0.039727806694306735,0.01969768732140637
sex,0.01275215844207601,0.010100012207709355
click,0.01495273253255995,0.010723535584711107
page,0.008746095560230777,0.012746035344038762
inflation,0.011435652956345299,0.01852238246606258
worst,0.008936004128293798,0.011465488641746598
classroom,0.003757051793735148,0.006362055801309648
wondery,-0.0021091944895613468,-0.0025698831855421648
transcripts,0.013162703740494986,0.01562629004872992
consult,0.1022073527219877,0.038140051563907144
many,0.03764054873517428,-0.00011002935908182436
industry,0.015999681337574918,0.02018704180135971
stock,0.017422480376795054,0.03333526837267889
top,0.03470098760949943,0.030939151365032
waves,0.09424394235965072,-0.08401607679007894
much,0.028192697673403707,0.019164596435486354
assistant,0.006291727733149915,0.002990857498845531
special,0.009199856751434914,0.008968459542588519
healthy,0.01792376510012139,0.01507355812571451
boston,0.003342405828046915,-0.00093307741142848
psychology,0.018273941411311813,0.018102081988462995
matters,0.04354681334692987,0.1067381366497273
love,0.008942116138205588,0.005469393534004405
election,0.010876187652407575,0.014457161200566969
legal,0.02934150410334959,0.07292614576517825
case,0.010520238433203313,0.013113219298227905
school,0.012801470692304001,0.015537429850032845
random,-0.000715345192212573,0.00021675497598010575
recommendation,0.06051897779769609,0.1414309844400527
services,0.0384257928372128,0.08427723474004647
tickets,0.001165811518199636,-0.0007033477774691753
women,0.011457572598987031,0.011133894497758782
